Periodo;Promedio(�C);Pp(mm);Solar output(in MWh/m2);CO (Organic Carbon) in soil;pH;Wheat yield
2000/01;21.12;1543.50;1.8;20.28;8.25;1118
2001/02;21.541666;1729;1.8;20.28;8.25;1449
2002/03;21.50;1572.70;1.8;20.28;8.25;1993
2003/04;21.333333;1204.60;1.8;20.28;8.25;965
2004/05;21.208333;1238.05;1.8;20.28;8.25;1236
2005/06;21.625;1140.15;1.8;20.28;8.25;1640
2006/07;21.458333;1203.20;1.8;20.28;8.25;1278
2007/08;21.166666;1197.85;1.8;20.28;8.25;1060
2010/11;20.916666;1400.30;1.8;20.28;8.25;2028
2011/12;21.666666;1347.50;1.8;20.28;8.25;1465
2012/13;20.75;1130.95;1.8;20.28;8.25;1046

