Periodo;Promedio(�C);Pp(mm);Solar output(in MWh/m2);Wheat yield
2000/01;18.16667;1693.55;1.75;2794
2001/02;18.31667;1686.70;1.75;2518
2002/03;18.13132;1582.25;1.75;2177
2003/04;18.22500;1315.30;1.75;2886
2004/05;18.34792;1086.80;1.75;2972
2005/06;18.38958;1183.50;1.75;2665
2006/07;18.10625;1297.20;1.75;3025
2007/08;18.35833;1017.60;1.75;2710
2008/09;18.82688;1023.20;1.75;2290
2009/10;18.52896;1337.85;1.75;2915
2010/11;18.36250;1139.10;1.75;4044
2011/12;18.49375;1288.70;1.75;3879
2012/13;18.61458;1398.00;1.75;3096
2013/14;18.56875;1564.40;1.75;3429
2014/15;18.73542;1570.10;1.75;3091
2015/16;18.48333;1190.40;1.75;3527
2016/17;18.59167;1208.45;1.75;3567
2017/18;18.90416;1332.90;1.75;3864
2018/19;18.88333;1340.35;1.75;3993
2019/20;18.58333;1022.25;1.75;3239
