Cultivo;Campaña;Provincia;idProvincia;Rendimiento
"Trigo total";2000/01;CHACO;22;1118
"Trigo total";2001/02;CHACO;22;1449
"Trigo total";2002/03;CHACO;22;1993
"Trigo total";2003/04;CHACO;22;965
"Trigo total";2004/05;CHACO;22;1236
"Trigo total";2005/06;CHACO;22;1640
"Trigo total";2006/07;CHACO;22;1278
"Trigo total";2007/08;CHACO;22;1060
"Trigo total";2008/09;CHACO;22;3000
"Trigo total";2009/10;CHACO;22;1000
"Trigo total";2010/11;CHACO;22;2028
"Trigo total";2011/12;CHACO;22;1465
"Trigo total";2012/13;CHACO;22;1046
"Trigo total";2013/14;CHACO;22;551
"Trigo total";2014/15;CHACO;22;1087
"Trigo total";2015/16;CHACO;22;1471
"Trigo total";2016/17;CHACO;22;1432
"Trigo total";2017/18;CHACO;22;1420
"Trigo total";2018/19;CHACO;22;1901
"Trigo total";2019/20;CHACO;22;2029
