Cultivo;Campaña;Provincia;idProvincia;Rendimiento
"Trigo total";2000/01;TUCUMAN;90;1228
"Trigo total";2001/02;TUCUMAN;90;2235
"Trigo total";2002/03;TUCUMAN;90;1600
"Trigo total";2003/04;TUCUMAN;90;900
"Trigo total";2004/05;TUCUMAN;90;1500
"Trigo total";2005/06;TUCUMAN;90;1405
"Trigo total";2006/07;TUCUMAN;90;1376
"Trigo total";2007/08;TUCUMAN;90;982
"Trigo total";2008/09;TUCUMAN;90;929
"Trigo total";2009/10;TUCUMAN;90;824
"Trigo total";2010/11;TUCUMAN;90;1474
"Trigo total";2011/12;TUCUMAN;90;1297
"Trigo total";2012/13;TUCUMAN;90;981
"Trigo total";2013/14;TUCUMAN;90;590
"Trigo total";2014/15;TUCUMAN;90;1595
"Trigo total";2015/16;TUCUMAN;90;1161
"Trigo total";2016/17;TUCUMAN;90;1196
"Trigo total";2017/18;TUCUMAN;90;1041
"Trigo total";2018/19;TUCUMAN;90;942
"Trigo total";2019/20;TUCUMAN;90;1047
