Periodo;Temp(�C);Pp(mm);Solar output(in MWh/m2);CO (Organic Carbon) in soil;pH;Wheat yield
2006/07;19.90;1044.45;1.6;26.4;6.4;1376
2007/08;19.70;1057.60;1.6;26.4;6.4;982
2008/09;20.40;875.90;1.6;26.4;6.4;929
2009/10;20.10;829.95;1.6;26.4;6.4;824
2010/11;19.80;946.60;1.6;26.4;6.4;1474
2011/12;20.40;792.35;1.6;26.4;6.4;1297
2012/13;20.80;631.95;1.6;26.4;6.4;981
2013/14;20.70;711.55;1.6;26.4;6.4;590
2014/15;20.40;882.90;1.6;26.4;6.4;1595
2015/16;20.00;1063.75;1.6;26.4;6.4;1161
2016/17;20.00;1004.10;1.6;26.4;6.4;1196
2017/18;20.20;1009.15;1.6;26.4;6.4;1041
2018/19;19.90;1094.95;1.6;26.4;6.4;942
2019/20;20.30;1002.60;1.6;26.4;6.4;1047
